Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,
1948,58061,58196,57671,58291,57854,58743,58968,58456,58513,58387,58417,58740, 
1949,58175,58208,58043,57747,57552,57172,57190,57397,57584,57269,58009,57845, 
1950,57635,57751,57728,58583,58649,59052,59001,59797,59575,59803,59697,59429, 
1951,59636,59661,60401,59889,60188,59620,60156,59994,59713,60010,59836,60497, 
1952,60460,60462,59908,59909,60195,60219,59971,59790,60521,60132,60748,60954, 
1953,61600,61884,62010,61444,61019,61456,61397,61151,60906,60893,60738,59977, 
1954,60024,60663,60186,60185,59908,59792,59643,59853,60282,60270,60357,60116, 
1955,60753,60727,60964,61515,61634,61781,62513,62797,62950,62991,63257,63684, 
1956,63753,63518,63411,63614,63861,63820,63800,63972,64079,63975,63796,63910, 
1957,63632,64257,64404,64047,63985,64196,64540,63959,64121,64046,63669,63922, 
1958,63220,62898,62731,62631,62874,62730,62745,63012,63181,63475,63470,63549, 
1959,63868,63684,64267,64768,64699,64849,65011,64844,64770,64911,64530,65341, 
1960,65347,65620,64673,65959,66057,66168,65909,65895,66267,65632,66109,65778, 
1961,65776,65588,65850,65374,65449,65993,65608,65852,65541,65919,66081,65900, 
1962,66108,66538,66493,66372,66688,66670,66483,66968,67192,67114,66847,66947, 
1963,67072,67024,67351,67642,67615,67649,67905,67908,68174,68294,68267,68213, 
1964,68327,68751,68763,69356,69631,69218,69399,69463,69578,69582,69735,69814, 
1965,69997,70127,70439,70633,71034,71025,71460,71362,71286,71695,71724,72062, 
1966,72198,72134,72188,72510,72497,72775,72860,73146,73258,73401,73840,73729, 
1967,73671,73606,73439,73882,73844,74278,74520,74767,74854,75051,75125,75473, 
1968,74700,75229,75379,75561,76107,76182,76087,76043,76172,76224,76494,76778, 
1969,76805,77327,77367,77523,77412,77880,77959,78250,78250,78445,78541,78740, 
1970,78780,78698,78863,78930,78564,78413,78726,78624,78498,78685,78650,78594, 
1971,78864,78700,78588,78987,79139,78757,79305,79539,79689,79918,80297,80471, 
1972,80959,81108,81573,81655,81887,82083,82230,82578,82543,82616,82990,83400, 
1973,83161,83912,84452,84559,84648,85185,85299,85204,85488,85987,86320,86401, 
1974,86555,86754,86819,86669,86891,86941,87149,87037,87051,86995,86626,86144, 
1975,85627,85256,85187,85189,85451,85355,85894,86234,86279,86370,86456,86665, 
1976,87400,87672,87985,88416,88794,88563,89093,89223,89173,89274,89634,89803, 
1977,89928,90342,90808,91271,91754,91959,92084,92441,92702,93052,93761,94105, 
1978,94384,94519,94755,95394,95769,96343,96090,96431,96670,97133,97485,97581, 
1979,97948,98329,98480,98103,98331,98679,99006,98776,99340,99404,99574,99933, 
1980,99879,99995,99713,99233,98945,98682,98796,98824,99077,99317,99545,99634, 
1981,99955,100191,100571,101056,101048,100298,100693,100689,100064,100378,100207,99645, 
1982,99692,99762,99672,99576,100116,99543,99493,99633,99504,99215,99112,99032, 
1983,99161,99089,99179,99560,99642,100633,101208,101608,102016,102039,102729,102996, 
1984,103201,103824,103967,104336,105193,105591,105435,105163,105490,105638,105972,106223, 
1985,106302,106555,106989,106936,106932,106505,106807,107095,107657,107847,108007,108216, 
1986,108887,108480,108837,108952,109089,109576,109810,110015,110085,110273,110475,110728, 
1987,110953,111257,111408,111794,112434,112246,112634,113057,112909,113282,113505,113793, 
1988,114016,114227,114037,114650,114292,114927,115060,115282,115356,115638,116100,116104, 
1989,116708,116776,117022,117097,117099,117418,117472,117655,117354,117581,117912,117830, 
1990,119081,119059,119203,118852,119151,118983,118810,118802,118524,118536,118306,118241, 
1991,117940,117755,117652,118109,117440,117639,117568,117484,117928,117800,117770,117466, 
1992,117978,117753,118144,118426,118375,118419,118713,118826,118720,118628,118876,118997, 
1993,119075,119275,119542,119474,120115,120290,120467,120856,120554,120823,121169,121464, 
1994,121966,122086,121930,122290,122864,122634,122706,123342,123687,124112,124516,124721, 
1995,124663,124928,124955,124945,124421,124522,124816,124852,125133,125388,125188,125088, 
1996,125125,125639,125862,125994,126244,126602,126947,127172,127536,127890,127771,127860, 
1997,128298,128298,128891,129143,129464,129412,129822,130010,130019,130179,130653,130679, 
1998,130726,130807,130814,131209,131325,131244,131329,131390,131986,131999,132280,132602, 
1999,133027,132856,132947,132955,133311,133378,133414,133591,133707,133993,134309,134523, 
2000,136559(1),136598,136701,137270,136630,136940,136531,136662,136893,137088,137322,137614, 
2001,137778,137612,137783,137299,137092,136873,137071,136241,136846,136392,136238,136047, 
2002,135701,136438,136177,136126,136539,136415,136413,136705,137302,137008,136521,136426, 
2003,137417(1),137482,137434,137633,137544,137790,137474,137549,137609,137984,138424,138411, 
2004,138472(1),138542,138453,138680,138852,139174,139556,139573,139487,139732,140231,140125, 
2005,140245(1),140385,140654,141254,141609,141714,142026,142434,142401,142548,142499,142752, 
2006,143150(1),143457,143741,143761,144089,144353,144202,144625,144815,145314,145534,145970, 
2007,146028(1),146057,146320,145586,145903,146063,145905,145682,146244,145946,146595,146273, 
2008,146397(1),146157,146108,146130,145929,145738,145530,145196,145059,144792,144078,143328, 
2009,142187(1),141660,140754,140654,140294,140003,139891,139458,138775,138401,138607,137968, 
2010,138500(1),138665,138836,139306,139340,139137,139139,139338,139344,139072,138937,139220, 
2011,139330(1),139551,139764,139628,139808,139385,139450,139754,140107,140297,140614,140790, 
2012,141637(1),142065,142034,141865, , , , , , , , , 